iter	Passed	Remaining
0	139	13792
1	140	6904
2	142	4601
3	143	3451
4	146	2776
5	147	2318
6	149	1984
7	151	1741
8	153	1549
9	154	1394
10	157	1271
11	158	1164
12	160	1075
13	162	999
14	164	932
15	166	874
16	168	822
17	170	774
18	171	731
19	173	692
20	174	657
21	176	626
22	178	597
23	180	571
24	182	546
25	183	522
26	184	500
27	186	480
28	188	461
29	190	444
30	192	428
31	194	413
32	196	399
33	198	384
34	199	371
35	205	364
36	207	352
37	209	341
38	211	330
39	212	319
40	214	308
41	216	298
42	218	289
43	220	280
44	221	270
45	223	261
46	224	253
47	226	245
48	227	237
49	229	229
50	231	222
51	233	215
52	234	208
53	236	201
54	238	195
55	240	188
56	242	182
57	244	176
58	245	170
59	247	164
60	248	158
61	249	153
62	251	147
63	253	142
64	255	137
65	257	132
66	258	127
67	260	122
68	262	117
69	263	112
70	264	108
71	267	103
72	268	99
73	270	94
74	272	90
75	273	86
76	274	82
77	276	77
78	278	73
79	279	69
80	281	66
81	283	62
82	284	58
83	286	54
84	287	50
85	289	47
86	291	43
87	293	39
88	295	36
89	296	32
90	298	29
91	300	26
92	302	22
93	304	19
94	307	16
95	309	12
96	312	9
97	315	6
98	318	3
99	322	0
